person,person_label,person_description,refurl,orderaus,award_name,honsid,date_awarded,sitelink
http://www.wikidata.org/entity/Q508551,Neil Stephens,Australian cyclist,https://honours.pmc.gov.au/honours/awards/886997,http://www.wikidata.org/entity/Q9682417,NA,886997,1996-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Neil_Stephens
http://www.wikidata.org/entity/Q509847,Joan Phipson,Australian children's writer,https://honours.pmc.gov.au/honours/awards/869826,http://www.wikidata.org/entity/Q9678710,NA,869826,1994-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Joan_Phipson
http://www.wikidata.org/entity/Q510222,Peter Doak,"Australian swimmer, Olympic bronze medallist",https://honours.pmc.gov.au/honours/awards/1149141,http://www.wikidata.org/entity/Q9682417,NA,1149141,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Peter_Doak
http://www.wikidata.org/entity/Q510525,Bronte Campbell,"Australian swimmer, Olympic athlete, world champion, former world record-holder",NA,http://www.wikidata.org/entity/Q9682417,NA,1154886,2017-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Bronte_Campbell
http://www.wikidata.org/entity/Q511237,Barry Jarman,Australian cricketer,https://honours.pmc.gov.au/honours/awards/887570,http://www.wikidata.org/entity/Q9682417,NA,887570,1997-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Barry_Jarman
http://www.wikidata.org/entity/Q511446,Luciana Arrighi,production designer,https://honours.pmc.gov.au/honours/awards/1154665,http://www.wikidata.org/entity/Q9678710,NA,1154665,2017-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Luciana_Arrighi
http://www.wikidata.org/entity/Q512658,Danielle McGrath,figure skater,https://honours.pmc.gov.au/honours/awards/1129934,http://www.wikidata.org/entity/Q9682417,NA,1129934,2000-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Danielle_McGrath
http://www.wikidata.org/entity/Q515889,Roma Mitchell,Australian judge,https://honours.pmc.gov.au/honours/awards/882251,http://www.wikidata.org/entity/Q9680541,NA,882251,1991-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Roma_Mitchell
http://www.wikidata.org/entity/Q515924,Don Dunstan,Australian politician (1926–1999),NA,http://www.wikidata.org/entity/Q9680541,NA,884432,1979-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Don_Dunstan
http://www.wikidata.org/entity/Q517286,Eleanor Dark,Twentieth-century Australian novelist,https://honours.pmc.gov.au/honours/awards/870209,http://www.wikidata.org/entity/Q9684829,NA,870209,1977-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Eleanor_Dark
http://www.wikidata.org/entity/Q521395,Mamoru Mohri,Japanese astronaut,https://honours.pmc.gov.au/honours/awards/1129458,http://www.wikidata.org/entity/Q56449119,NA,1129458,2006-03-16T00:00:00Z,https://en.wikipedia.org/wiki/Mamoru_Mohri
http://www.wikidata.org/entity/Q523318,Kay Goldsworthy,Anglican Archbishop of Perth,https://honours.pmc.gov.au/honours/awards/1769684,http://www.wikidata.org/entity/Q9684829,NA,1769684,2017-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Kay_Goldsworthy
http://www.wikidata.org/entity/Q523892,Yvonne Kenny,Australian soprano,NA,http://www.wikidata.org/entity/Q9678710,NA,870216,1989-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Yvonne_Kenny
http://www.wikidata.org/entity/Q524423,Catherine Hamlin,Australian obstetrician and gynaecologist (1924-2020),https://honours.pmc.gov.au/honours/awards/884023,http://www.wikidata.org/entity/Q9678710,NA,884023,1983-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Catherine_Hamlin
http://www.wikidata.org/entity/Q524423,Catherine Hamlin,Australian obstetrician and gynaecologist (1924-2020),https://honours.pmc.gov.au/honours/awards/883270,http://www.wikidata.org/entity/Q9680541,NA,883270,1995-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Catherine_Hamlin
http://www.wikidata.org/entity/Q524500,Ray Groom,Australian politician; 39th Premier of Tasmania,NA,http://www.wikidata.org/entity/Q9684829,NA,1141691,2010-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Ray_Groom
http://www.wikidata.org/entity/Q528300,Richard Bonynge,Australian conductor and pianist,https://honours.pmc.gov.au/honours/awards/1145045,http://www.wikidata.org/entity/Q9680541,NA,1145045,2012-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Richard_Bonynge
http://www.wikidata.org/entity/Q528300,Richard Bonynge,Australian conductor and pianist,https://honours.pmc.gov.au/honours/awards/870230,http://www.wikidata.org/entity/Q9684829,NA,870230,1983-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Richard_Bonynge
http://www.wikidata.org/entity/Q528907,Peter Garrett,"Australian musician, activist, and former politician",https://honours.pmc.gov.au/honours/awards/1043291,http://www.wikidata.org/entity/Q9678710,NA,1043291,2003-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Peter_Garrett
http://www.wikidata.org/entity/Q706637,Michael Wenden,"Australian swimmer, Olympic gold medallist, former world record-holder",https://honours.pmc.gov.au/honours/awards/1131479,http://www.wikidata.org/entity/Q9678710,NA,1131479,2006-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Michael_Wenden
http://www.wikidata.org/entity/Q708469,Dale Begg-Smith,freestyle skier,NA,http://www.wikidata.org/entity/Q9682417,NA,1154863,2017-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Dale_Begg-Smith
